200 3
0 26 426
657 31 1441
1676 16 326
737 34 1476
453 38 263
357 84 585
639 67 1329
895 56 413
1609 8 1290
297 64 90
784 49 946
1708 44 245
580 26 1219
1166 88 574
1723 14 115
1725 27 738
1726 46 1254
207 51 1893
704 66 875
1722 37 803
353 18 1238
1447 47 1442
1227 63 1730
1805 3 695
158 55 360
1098 64 6
875 81 214
27 63 1023
1387 18 853
31 97 1032
623 26 77
1009 64 1595
918 66 1468
1170 49 1362
928 14 282
1646 10 612
718 93 407
1771 19 1196
1889 68 742
969 59 412
1215 98 228
1086 8 746
980 60 448
1333 48 156
25 26 822
967 98 1713
926 82 1148
411 25 1760
631 35 1278
1132 9 1027
13 49 801
1320 77 467
580 5 802
1255 71 90
1116 36 1785
145 27 1442
1214 69 1050
1875 13 1755
1776 64 1416
267 25 1226
497 21 824
1280 28 360
868 13 248
1458 90 1291
942 45 63
1555 57 1469
835 17 1867
852 76 699
826 20 308
270 29 333
542 97 578
210 27 1352
1282 66 260
1428 62 526
528 33 224
1489 18 1851
1158 24 1565
134 93 881
610 74 770
1733 52 316
1416 95 363
1243 99 1467
1533 84 875
1362 75 1580
327 57 1836
1735 51 40
469 66 1533
1 92 128
1174 31 524
1512 52 979
1690 9 1204
1424 60 421
900 64 1571
1520 78 964
1889 22 1416
803 77 1015
1045 42 219
1613 30 146
649 89 984
1864 37 1740
8 37 1828
1533 28 881
1818 98 450
1100 74 1189
272 81 1204
985 57 781
1325 30 417
989 48 266
1622 93 1322
1322 37 1486
1166 74 732
374 77 148
954 42 1643
644 55 2
160 67 608
1233 92 1781
499 7 383
1407 25 991
1632 41 1472
678 97 1337
696 10 1587
1531 35 92
952 99 131
490 90 215
1459 62 1036
242 18 1327
660 33 645
1586 10 921
961 73 1628
1256 69 288
1179 52 250
201 71 1420
232 19 606
40 87 221
1088 18 155
1061 78 1786
455 63 801
1466 77 746
73 49 1039
1723 53 1396
261 34 1366
741 40 1381
789 47 1242
1806 25 1196
269 41 136
316 35 1019
870 51 251
854 67 1693
824 23 499
1305 47 1746
19 3 1811
694 60 689
859 34 1703
152 80 855
1502 43 1327
1263 43 1696
1310 89 892
956 83 1161
616 11 332
543 56 56
1449 43 479
1885 86 1484
1788 98 918
874 45 1097
1175 7 382
762 65 1613
821 79 1797
1682 54 485
1246 96 332
928 33 1568
911 31 827
1819 83 1444
1892 59 1667
1459 41 1183
95 26 1378
1545 16 680
1037 71 1416
179 39 1264
1326 96 92
293 31 1549
1245 62 103
1058 58 164
995 34 138
1486 44 520
129 15 1007
1095 10 901
1460 55 1213
1057 64 1136
1770 3 572
733 40 1138
1753 84 1624
697 54 224
376 29 857
72 78 1702
343 53 1467
431 17 1102
1016 56 550
1331 65 712
1039 27 453
1701 98 1409
